quad_id,wrs2_code
027034LL,27034
027034LR,27034
027035UL,27035
027035UR,27035
027035LL,27035
027035LR,27035
027036UL,27036
027036UR,27036
027036LL,27036
027036LR,27036
027037UL,27037
027037UR,27037
027037LL,27037
027037LR,27037
027038UL,27038
027038UR,27038
027038LL,27038
027038LR,27038
027039UL,27039
027039UR,27039
027039LL,27039
027039LR,27039
027040UL,27040
027040UR,27040
027040LL,27040
027040LR,27040
027041UL,27041
027041UR,27041
027041LL,27041
027041LR,27041
027042UL,27042
027042UR,27042
027042LL,27042
027042LR,27042
028034UL,28034
028034UR,28034
028034LL,28034
028034LR,28034
028035UL,28035
028035UR,28035
028035LL,28035
028035LR,28035
028036UL,28036
028036UR,28036
028036LL,28036
028036LR,28036
028037UL,28037
028037UR,28037
028037LL,28037
028037LR,28037
028038UL,28038
028038UR,28038
028038LL,28038
028038LR,28038
028039UL,28039
028039UR,28039
028039LL,28039
028039LR,28039
028040UL,28040
028040UR,28040
028040LL,28040
028040LR,28040
028041UL,28041
028041UR,28041
028041LL,28041
028041LR,28041
029034UL,29034
029034UR,29034
029034LL,29034
029034LR,29034
029035UL,29035
029035UR,29035
029035LL,29035
029035LR,29035
029036UL,29036
029036UR,29036
029036LL,29036
029036LR,29036
029037UL,29037
029037UR,29037
029037LL,29037
029037LR,29037
029038UL,29038
029038UR,29038
029038LL,29038
029038LR,29038
029039UL,29039
029039UR,29039
029039LL,29039
029039LR,29039
029040UL,29040
029040UR,29040
029040LL,29040
029040LR,29040
030034UL,30034
030034UR,30034
030034LL,30034
030034LR,30034
030035UL,30035
030035UR,30035
030035LL,30035
030035LR,30035
030036UL,30036
030036UR,30036
030036LL,30036
030036LR,30036
030037UL,30037
030037UR,30037
030037LL,30037
030037LR,30037
030038UL,30038
030038UR,30038
030038LL,30038
030038LR,30038
030039UL,30039
030039UR,30039
030039LL,30039
030039LR,30039
030040UL,30040
030040UR,30040
030040LL,30040
030040LR,30040
031034UL,31034
031034UR,31034
031034LL,31034
031034LR,31034
031035UL,31035
031035UR,31035
031035LL,31035
031035LR,31035
031036UL,31036
031036UR,31036
031036LL,31036
031036LR,31036
